1,1,1,viral hemorrhagic fevers
1,1,2,vascular system
1,1,2,hemorrhage
1,1,8,hemorrhagic fever viruses
1,2,1,ebola hemorrhagic fever
1,2,2,fever
1,2,2,fatigue
1,2,2,dizziness
1,2,2,muscle aches
1,2,2,loss of strength
1,2,2,and exhaustion
1,2,6,1996
1,2,7,first
1,2,8,virus
2,1,1,ebola
2,1,8,virus
3,1,1,ebola virus disease (evd
3,1,8,ebola virus
4,1,1,ebola
4,1,2,decreased blood flow
4,1,2,red spots on the skin2015
4,1,7,early
4,1,8,ebola virus
5,1,1,ebola
5,1,2,sudden increase in body temperature
5,1,2,strong headaches
5,1,2,joint and muscle pain.decreased appetite sore throat
5,1,7,first
5,1,8,virus
5,2,1,ebola
5,2,2,spontaneous bleeding
5,2,7,first
5,2,8,virus
6,1,1,ebola
6,1,2,fever
6,1,2,weakness
6,1,2,muscle pain
6,1,2,headaches and a sore throat
6,1,4,no specific treatments
6,1,6,1976 2007 1994 2012 september
6,1,7,early
6,1,8,infections
7,1,1,ebola
7,1,2,influenza
7,1,2,fever and chills
7,1,2,headache
7,1,2,joint and muscle aches
7,1,2,and weakness
7,1,2,maculopapular rash
7,1,2,cough
7,1,2,nausea and vomiting
7,1,2,and abdominal pain
7,1,4,no treatment
7,1,7,early
7,1,8,ebola-reston zaire strain of ebola
7,2,1,ebola
7,2,4,supportive care: fluid resuscitation to prevent dehydration
7,2,5,ebola vaccine
7,2,8,virus
8,1,1,ebola haemorrhagic fever
8,1,2,body aches abdominal pain
8,1,2,the fever vomit
8,1,6,december 2013   march 23 1979-2008
8,1,7,every
8,1,8,aids virus ebola virus
9,1,1,ebola
9,1,7,first
9,1,8,ebolas virus
10,1,1,evd
10,1,2,fever
10,1,2,elevated body temperature or subjective fever
10,1,2,chills
10,1,2,myalgias
10,1,2,and malaise
10,1,6,8 to12
10,1,7,initial
10,1,8,evd ebola virus
11,1,1,ebola
11,1,2,severe diarrhea
11,1,2,nausea and vomiting chest pain
11,1,2,shortness of breath
11,1,2,headache
11,1,2,confusion
11,1,2,bloodshot eyes
11,1,2,hiccups
11,1,7,initial
11,1,8,virus
12,1,1,ebola
12,1,2,nausea
12,1,2,vomiting
12,1,2,sore throat
12,1,2,stomach pain
12,1,2,and diarrhea
12,1,6,4 to 16 7 to 16
12,1,7,first
12,1,8,ebola virus infection
43,6,1,ebola hemorrhagic fever
43,6,2,ebola-associated abdominal signs
43,6,8,contaminated with the patient�s blood
43,7,1,ebola
43,7,4,ebola neutralizing antibody
43,7,8,gp of ebola
43,8,1,ebola
43,8,4,treatment includes an experimental serum that destroys infected cells
43,8,8,serum
43,9,1,ebola
43,9,4,blood pressure medication
43,9,8,fluids
43,10,1,ebola
43,10,4,oral rehydration therapy�(drinking slightly sweetened and salty water) or giving�intravenous fluids�as well as treating symptoms.�
43,11,1,ebola
43,11,8,ebola virus
57,1,8,virus
57,2,4,zmapp
57,2,7,first
57,3,2,fever
57,3,2,aches
57,3,2,diarrhea and bleeding
57,3,4,giving fluids
59,1,7,today
59,1,7,tuesday
59,2,2,vomit
59,2,8,virus
60,1,7,tuesday
60,1,7,thursday
60,2,7,august
62,1,7,first
62,1,7,early this month
62,2,7,july
62,2,8,virus
62,3,8,virus
63,1,4,zmapp
63,1,7,first
63,2,8,virus
64,1,5,supportive therapy
64,2,7,after
64,2,7,24 hours
65,1,7,after
65,1,7,now
65,1,7,while
65,2,7,first
65,2,8,virus
66,1,7,aug. 21
66,1,7,aug. 19
66,1,7,early august
66,1,7,first
66,2,7,tuesday
66,2,8,virus
67,1,7,first
67,1,7,last month
67,2,7,tuesday
67,2,7,early
67,2,8,virus
85,1,7,after
85,1,7,first
85,1,7,thursday
105,1,1,ebola
105,1,3,mit test
105,1,8,ebola virus
105,2,1,ebola
105,2,3,elisa test
105,2,8,ebola virus antigens
105,3,1,ebola
105,3,3,indirect fluorescence antibody test (ifat
105,3,8,ebola virus infection
105,4,1,ebola
105,4,3,igm-capture elisa
105,4,8,zaire ebolavirus�antigens
105,5,1,ebola
105,5,4,immune system
105,5,8,ebola virus
106,1,1,ebola
106,1,4,blood transfusions
106,1,6,1995
106,1,8,edv virus
106,2,1,ebola
106,2,3,zmapp
106,2,8,ebola virus
109,1,1,ebola
109,1,3,zmapp
109,2,1,ebola
109,2,3,tkm-ebola
109,2,6,41640
109,2,8,ebola virus
115,1,1,ebola
115,1,2,�fever
115,1,2,�weakness
115,1,2,�decreased appetite
115,1,2,�muscular pain
115,1,2,�joint pain
115,1,2,headache
115,1,2,and sore throat
115,1,8,ebola virus
115,2,1,ebola
115,2,2,somedecreased blood clotting vomiting blood
115,2,2,�coughing up of blood
115,2,2,or�blood in stool
115,2,4,thegastrointestinal tract
116,7,1,ebola
116,7,6,2014
116,7,7,first
116,8,1,ebola
116,8,6,2014
116,8,7,first
116,9,1,ebola
116,9,6,2014
116,9,7,first
116,10,1,ebola
116,10,6,2014
116,10,7,first
116,11,1,ebola
116,11,6,2014
116,11,7,first
116,12,1,ebola
116,12,6,2014
116,12,7,first
117,1,1,ebola
117,1,2,low blood pressure from fluid loss
117,2,1,ebola
