URLNO,PNO,RFN,VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,has begun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,"2014, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,from june 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,4,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,on 25th march 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,5,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,6,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,29th august 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,7,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,23rd october 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,first ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,8,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,30-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,first ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,9,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,fourth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,10,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,first case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,current began,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,after,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1,5,"protective clothing including masks, gloves, gowns and goggles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1,8,objects contaminated by an infected person's body fluids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2,3,"To disinfect surfaces, some lipid solvents such as some alcohol-based products, detergents, sodium hypochlorite (bleach) or calcium hypochlorite (bleaching powder), and other suitable disinfectants may be used at appropriate concentrations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2,8,ebolaviruses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3,5,These measures include avoiding direct contact with infected people and regular hand washing using soap and water.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3,8,ebola infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4,5,"Certain burial rituals, which may have included making various direct contacts with a dead body, require reformulation such that they consistently maintain a proper protective barrier between the dead body and the living.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4,8,ebola disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,5,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,5,3,Specimens were analyzed for immunoglobulin G antibodies by enzyme-linked immunosorbent assay (ELISA) and for Ebola virus by antigen detection ELISA and reverse-transcriptase polymerase chain reaction (RT-PCR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,5,8,serum and oral fluid are contaminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2,3,ELISA and RT-PCR testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2,6,12th february,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2,8,ebola virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3,3,antibody detection findings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3,8,oral fluid specimens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,4,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,4,3,antigen detection ELISA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,4,8,ebola RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,5,"balancing electrolytes, Maintaining oxygen status and blood pressure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,8,ebola virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,3,antigen detection ELISA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,8,ebola RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2,7,10 years long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2,8,ebola infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3,4,joint vision problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3,8,ebola virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,4,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,4,3,ebola antigen - detection tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,5,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,5,6,42168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,5,8,ebola viral infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,1,ebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,4,combined the antibodies into a specific cocktail ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,8,ebola virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,7,24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2,1,ebola hemorrhagic fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2,4,no standard treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
